BICYCLE THEFT,"2016005056April 2, 2016 400 N OCEAN BLVD",1,
BICYCLE THEFT,"2016005369April 8, 2016 1015 SPANISH RIVER RD",1,
BICYCLE THEFT,"2016005428April 9, 2016 3100 AIRPORT RD",1,
BICYCLE THEFT,"2016005873April 17, 2016 728 W CAMINO REAL",1,
BICYCLE THEFT,"2016005878April 17, 2016 275 NW 20TH ST",1,
BICYCLE THEFT,"2016005920April 18, 2016 2420 NE 5TH AVE",1,
BICYCLE THEFT,"2016006104April 21, 2016 400 NW 2ND AVE",1,
BICYCLE THEFT,"2016006203April 22, 2016 1968 NE 5TH AVE",1,
BICYCLE THEFT,"2016006248April 23, 2016 260 NE SPANISH TRL",1,
BICYCLE THEFT,"2016006326April 25, 2016 1001 SW 2ND AVE",1,
BICYCLE THEFT,"2016006330April 25, 2016 1500 NW 1ST CT",1,
BICYCLE THEFT,"2016006726May 2, 2016 4501 OAK CIR",1,
BICYCLE THEFT,"2016006817May 3, 2016 2499 N FEDERAL HWY",1,
BICYCLE THEFT,"2016006985May 6, 2016 1001 S FEDERAL HWY",1,
BICYCLE THEFT,"2016007224May 11, 2016 2600 NE 26TH TER",1,
BICYCLE THEFT,"2016007496May 16, 2016 1501 NW 10TH ST",1,
BICYCLE THEFT,"2016007906May 24, 2016 535 NE 36TH ST",1,
BICYCLE THEFT,"2016008127May 29, 2016 680 W YAMATO RD",1,
BICYCLE THEFT,"2016008176May 30, 2016 299 W CAMINO REAL",1,
BICYCLE THEFT,"2016008292June 1, 2016 606 NW 13TH ST",1,
BICYCLE THEFT,"2016008542June 7, 2016 2869 NW 24TH WAY",1,
BICYCLE THEFT,"2016008559June 7, 2016 1968 NE 5TH AVE",1,
BICYCLE THEFT,"2016009726July 1, 2016 899 SW 3RD AVE",1,
BICYCLE THEFT,"2016010022July 8, 2016 800 MEADOWS RD",1,
BICYCLE THEFT,"2016010048July 8, 2016 488 NW 13TH ST",1,
BICYCLE THEFT,"2016010195July 11, 2016 1600 N FEDERAL HWY",1,
BICYCLE THEFT,"2016010456July 16, 2016 1001 S FEDERAL HWY",1,
BICYCLE THEFT,"2016010981July 27, 2016 7431 N FEDERAL HWY",1,
BICYCLE THEFT,"2016011115July 30, 2016 3900 N OCEAN BLVD",1,
BICYCLE THEFT,"2016011402August 5, 2016 798 AURELIA ST",1,
BICYCLE THEFT,"2016011610August 9, 2016 680 W YAMATO RD",1,
BICYCLE THEFT,"2016011831August 13, 2016 1956 N FEDERAL HWY",1,
BICYCLE THEFT,"2016013285September 11, 2016 6000 W GLADES RD",1,
BICYCLE THEFT,"2016013610September 17, 2016 446 NW 5TH AVE",1,
BICYCLE THEFT,"2016014044September 25, 2016 1400 NW 15TH CT",1,
BICYCLE THEFT,"2016014722October 9, 2016 2240 NW 19TH ST",1,
BICYCLE THEFT,"2016014827October 11, 2016 400 NW 2ND AVE",1,
BICYCLE THEFT,"2016014873October 12, 2016 998 SW 11TH CT",1,
BICYCLE THEFT,"2016015664October 26, 2016 680 W YAMATO RD",1,
BICYCLE THEFT,"2016015937October 31, 2016 1400 W GLADES RD",1,
BICYCLE THEFT,"2016016361November 8, 2016 2115 NE 4TH AVE",1,
BICYCLE THEFT,"2016016730November 16, 2016 1500 NW 1ST CT",1,
BICYCLE THEFT,"2016017010November 21, 2016 1920 N FEDERAL HWY",1,
BICYCLE THEFT,"2016017053November 22, 2016 170 NE 2ND ST",1,
BICYCLE THEFT,"2016017119November 23, 2016 1968 NE 5TH AVE",1,
BICYCLE THEFT,"2016017220November 26, 2016 400 NW 2ND AVE",1,
BICYCLE THEFT,"2016017340November 29, 2016 1908 NW 4TH AVE",1,
BICYCLE THEFT,"2016017344November 29, 2016 98 S FEDERAL HWY",1,
BICYCLE THEFT,"2016017472December 1, 2016 55 NE SPANISH TRL",1,
BICYCLE THEFT,"2016017618December 4, 2016 1968 NE 5TH AVE",1,
BICYCLE THEFT,"2016017781December 7, 2016 4850 NE 5TH AVE",1,
BICYCLE THEFT,"2016017867December 8, 2016 1475 NW 13TH ST",1,
BICYCLE THEFT,"2016017891December 8, 2016 5601 NOTTINGHAM RD",1,
BICYCLE THEFT,"2016018277December 16, 2016 1500 NW 1ST CT",1,
BICYCLE THEFT,"2016018398December 18, 2016 1721 NW 15TH VIS",1,
BICYCLE THEFT,"2016018673December 23, 2016 680 W YAMATO RD",1,
BICYCLE THEFT,"2016018694December 23, 2016 233 S FEDERAL HWY",1,
BICYCLE THEFT,"2016018701December 23, 2016 2001 NW 2ND AVE",1,
BICYCLE THEFT,"2016018707December 23, 2016 400 NW 2ND AVE",1,
BICYCLE THEFT,"2016018813December 27, 2016 1701 BUTTS RD",1,
BICYCLE THEFT,"2016018890December 28, 2016 2 N OCEAN BLVD",1,
BICYCLE THEFT,"2016019028December 31, 2016 400 NE 20TH ST",1,
BICYCLE THEFT,"2016019053December 31, 2016 831 E PALMETTO PARK RD",1,
BICYCLE THEFT,"2017000042January 2, 2017 638 NW 13TH ST",1,
BICYCLE THEFT,"2017000090January 3, 2017 903 E BOCA RATON RD",1,
BICYCLE THEFT,"2017000557January 12, 2017 4950 TECHNOLOGY WAY",1,
BICYCLE THEFT,"2017000643January 13, 2017 225 NE MIZNER BLVD",1,
BICYCLE THEFT,"2017000746January 16, 2017 2202 N FEDERAL HWY",1,
BICYCLE THEFT,"2017000757January 16, 2017 3100 S DIXIE HWY",1,
BICYCLE THEFT,"2017000773January 16, 2017 6000 W GLADES RD",1,
BICYCLE THEFT,"2017000833January 17, 2017 100 PLAZA REAL S",1,
BICYCLE THEFT,"2017001107January 23, 2017 300 PLAZA REAL",1,
BICYCLE THEFT,"2017001191January 24, 2017 1056 NW 7TH ST",1,
BICYCLE THEFT,"2017001468January 29, 2017 499 NE SPANISH RIVER BLVD",1,
BICYCLE THEFT,"2017001492January 30, 2017 1150 NW 13TH ST",1,
BICYCLE THEFT,"2017001496January 30, 2017 499 NE SPANISH RIVER BLVD",1,
BICYCLE THEFT,"2017001533January 30, 2017 500 NE SPANISH RIVER BLVD",1,
BICYCLE THEFT,"2017001607February 1, 2017 2501 S OCEAN BLVD",1,
BICYCLE THEFT,"2017001701February 2, 2017 400 NW 2ND AVE",1,
BICYCLE THEFT,"2017002128February 10, 2017 1001 S FEDERAL HWY",1,
BICYCLE THEFT,"2017002130February 10, 2017 373 NW 4TH DIAG",1,
BICYCLE THEFT,"2017002157February 10, 2017 2 N OCEAN BLVD",1,
BICYCLE THEFT,"2017002226February 12, 2017 200 NE 14TH ST",1,
BICYCLE THEFT,"2017002244February 13, 2017 234 S FEDERAL HWY",1,
BICYCLE THEFT,"2017002620February 20, 2017 2871 N OCEAN BLVD",1,
BICYCLE THEFT,"2017002706February 21, 2017 2871 N OCEAN BLVD",1,
BICYCLE THEFT,"2017002788February 22, 2017 2871 N OCEAN BLVD",1,
BICYCLE THEFT,"2017002789February 22, 2017 450 SW 2ND AVE",1,
BICYCLE THEFT,"2017002834February 23, 2017 202 W YAMATO RD",1,
BICYCLE THEFT,"2017002942February 25, 2017 1001 S FEDERAL HWY",1,
BICYCLE THEFT,"2017002992February 26, 2017 2501 NW 32ND ST",1,
BICYCLE THEFT,"2017002993February 26, 2017 402 PLAZA REAL",1,
